discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
False,,489.60857367597055,hard,dub_irish_dutch,,0,1729,,-4.404885560695949,0.4009384208265915,0.0,0.0,100
True,27,484.73639556299895,hard,dub_irish_dutch,-5.231312971371947,1,1730,3584,-4.6633146416558615,0.35805822195034515,0.0,0.0,100
False,,382.45603236497846,hard,dub_irish_dutch,,2,1731,,-5.050201371308014,0.34675837463313613,0.0,0.0,100
True,46,367.23921356501523,hard,dub_irish_dutch,-4.743096001004981,3,1732,6016,-4.046880517183292,0.48952394091776186,0.0,0.0,100
False,,371.08402461907826,hard,dub_irish_dutch,,4,1733,,-4.659632664419063,0.31678377016158454,0.0,0.0,100
False,,372.9193649920635,hard,dub_irish_dutch,,5,1734,,-4.508213930643461,0.39819464815957933,0.0,0.0,100
False,,367.387550001964,hard,dub_irish_dutch,,6,1735,,-4.433757027953588,0.39369099692620224,0.0,0.0,100
False,,365.8585077560274,hard,dub_irish_dutch,,7,1736,,-4.389175013185656,0.47261751857554685,0.0,0.0,100
False,,365.98231082304846,hard,dub_irish_dutch,,8,1737,,-3.6521562500000058,0.40442715919809213,0.0,0.0,100
False,,361.68127001298126,hard,dub_irish_dutch,,9,1738,,-3.5751965981012717,0.38086648558917496,0.0,0.0,100
