avg_steps_to_first_discovery,avg_tail_reward_per_episode,avg_tail_success_rate,discovery_rate,loophole,runs,steps_to_first_discovery_cv,steps_to_first_discovery_stddev,tail_reward_cv_across_runs,tail_reward_stddev_across_runs,tail_success_rate_stddev_across_runs
,-4.414354166666668,0.0,0.0,barnes_group,10,,,0.2742272187221403,1.2105360655794917,0.0
,-8.062733333333336,0.0,0.0,distressed_assets,10,,,0.268266231244142,2.1629590848598523,0.0
,-3.2124854051372163,0.0,0.0,dub_irish_dutch,10,,,0.1624888192754248,0.521992960420281,0.0
8140.8,-1.5408859375000001,0.0009375000000000002,0.5,partnership_disguised_sale,10,0.5000148330539808,4070.5207529258464,0.07786304260250573,0.1199780673971645,0.0015095184110614
8256.0,-2.6547666666666667,0.004444444444444444,0.8,straddle_abuse,10,0.3468752505063458,2863.802068180391,0.2690070151304106,0.7141508568677097,0.005105203241514897
,-3.6877714646464645,0.0,0.0,subsidiary_stock_comp,10,,,0.7297943499359049,2.6913147787538465,0.0
