avg_entropy,avg_reward_per_episode,best_tax_advantage,cumulative_reward,dead_end_count,env_variant,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,saved_snapshots,seed,source_dir,success_count,success_rate,total_steps,update
3.7389,-7.896666666666669,0,-94.76000000000003,,hard,12,94,barnes_group,0.363047460714976,0,0.2217,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,3200,24
3.5465,-7.737500000000007,0,-92.85000000000008,,hard,12,92,barnes_group,0.24086259305477142,0,0.2206,31,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,3328,25
3.7955,-7.588333333333336,0,-91.06000000000003,,hard,12,90,barnes_group,0.4659974277019501,0,0.2195,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,3456,26
3.5905,-7.257500000000004,0,-87.09000000000005,,hard,12,86,barnes_group,0.12457286814848582,0,0.2184,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,3584,27
3.227,-7.134999999999998,0,-85.61999999999998,,hard,12,84,barnes_group,0.18001055717468262,0,0.2173,23,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,3712,28
3.1292,-7.205000000000001,0,-86.46000000000001,,hard,12,85,barnes_group,0.24280800422032675,0,0.2162,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,3840,29
3.4191,-7.30166666666667,0,-87.62000000000005,,hard,12,86,barnes_group,0.23620074490706125,0,0.2151,35,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,3968,30
3.2649,-7.215833333333333,0,-86.59,,hard,12,85,barnes_group,0.17293772101402283,0,0.214,27,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,4096,31
3.203,-7.394166666666667,0,-88.73,,hard,12,87,barnes_group,0.28105411926905316,0,0.213,27,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,4224,32
4.0482,-7.107500000000002,0,-85.29000000000002,,hard,12,84,barnes_group,0.15655222038427988,0,0.2119,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,4352,33
4.142,-7.819166666666672,0,-93.83000000000007,,hard,12,93,barnes_group,0.21176313360532126,0,0.2108,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,4480,34
4.0335,-8.03833333333334,0,-96.46000000000006,,hard,12,96,barnes_group,0.18490936855475107,0,0.2098,23,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,4608,35
3.9501,-7.839999999999995,0,-94.07999999999994,,hard,12,93,barnes_group,0.27910488843917847,0,0.2087,29,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,4736,36
3.8441,-7.3416666666666694,0,-88.10000000000004,,hard,12,87,barnes_group,0.20780267814795175,0,0.2077,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,4864,37
3.2527,-7.392499999999998,0,-88.70999999999998,,hard,12,87,barnes_group,0.13911508520444235,0,0.2066,23,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,4992,38
3.5101,-7.742499999999997,0,-92.90999999999997,,hard,12,92,barnes_group,0.20013203720251718,0,0.2056,32,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,5120,39
3.5845,-7.45666666666667,0,-89.48000000000003,,hard,12,88,barnes_group,0.1521358241637548,0,0.2046,31,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,5248,40
3.5639,-7.445833333333339,0,-89.35000000000007,,hard,12,88,barnes_group,0.21062098940213522,0,0.2036,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,5376,41
3.5722,-7.031666666666667,0,-84.38000000000001,,hard,12,83,barnes_group,0.1619804451862971,0,0.2025,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,5504,42
3.5623,-7.138333333333336,0,-85.66000000000004,,hard,12,84,barnes_group,0.17482690513134003,0,0.2015,21,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,5632,43
3.959,-6.995833333333336,0,-83.95000000000003,,hard,12,83,barnes_group,0.09405101835727692,0,0.2005,36,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,5760,44
3.3203,-7.1166666666666645,0,-85.39999999999998,,hard,12,84,barnes_group,0.08938329915205638,0,0.1995,20,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,5888,45
3.4133,-6.882500000000003,0,-82.59000000000003,,hard,12,81,barnes_group,0.03775075078010559,0,0.1985,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,6016,46
3.7509,-6.681666666666668,0,-80.18000000000002,,hard,12,79,barnes_group,0.05928662419319153,0,0.1975,29,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,6144,47
3.9523,-7.163333333333335,0,-85.96000000000002,,hard,12,85,barnes_group,0.20903847614924112,0,0.1965,34,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,6272,48
3.7084,-6.602500000000007,0,-79.23000000000009,,hard,12,78,barnes_group,0.011470566193262735,0,0.1956,20,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,6400,49
3.6415,-6.865000000000006,0,-82.38000000000008,,hard,12,81,barnes_group,0.06469683349132538,0,0.1946,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,6528,50
3.3402,-6.786666666666669,0,-81.44000000000003,,hard,12,80,barnes_group,0.1018832524617513,0,0.1936,18,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,6656,51
3.2596,-6.801666666666669,0,-81.62000000000003,,hard,12,80,barnes_group,0.11573930084705353,0,0.1926,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,6784,52
3.2688,-6.630833333333335,0,-79.57000000000002,,hard,12,78,barnes_group,0.09187020361423492,0,0.1917,29,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,6912,53
3.1671,-6.632500000000005,0,-79.59000000000006,,hard,12,78,barnes_group,0.032543912529945374,0,0.1907,29,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,7040,54
3.5094,-6.629166666666671,0,-79.55000000000005,,hard,12,78,barnes_group,0.02817415197690328,0,0.1898,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,7168,55
3.4503,-6.36416666666667,0,-76.37000000000005,,hard,12,75,barnes_group,0.02584374447663625,0,0.1888,19,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,7296,56
3.7835,-6.196666666666672,0,-74.36000000000006,,hard,12,73,barnes_group,-0.026807357867558796,0,0.1879,15,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,7424,57
3.3356,-6.125000000000001,0,-73.50000000000001,,hard,12,72,barnes_group,0.031590357422828674,0,0.1869,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,7552,58
