discovered,discovery_update,elapsed_seconds,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,10,901.4582392880693,barnes_group,0.415040214832372,0,1729,1408,0.9656727256811818,0.010718477449450606,1,0,100
True,0,866.6589106274769,barnes_group,0.14224010877543977,1,1730,128,0.9602273226539768,0.017957452801595858,1,0,100
True,0,851.5486811446026,barnes_group,0.7923840251575887,2,1731,128,0.9624789180663533,0.014612686044524247,1,0,100
True,1,836.241621918045,barnes_group,0.4905698886757268,3,1732,256,0.9500906257957732,0.018643629119538915,1,0,100
True,1,842.7624306669459,barnes_group,-0.06289345535134291,4,1733,256,0.9090810305707375,0.046999019784824916,1,0,100
True,8,823.7570949308574,barnes_group,-0.8113043478260874,5,1734,1152,-0.8010000000000005,0.08699062260412121,0,0,100
True,0,709.5836344948038,barnes_group,-0.8166500000000005,6,1735,128,-0.8365000000000006,0.27758877195554854,0.05,0.22360679774997896,100
True,4,630.2357088569552,barnes_group,-1.038645833333334,7,1736,640,-1.0245000000000006,0.3338842377389602,0,0,100
True,25,642.0926428493112,barnes_group,-0.7366000000000005,8,1737,3328,-0.6195000000000004,0.2956255633131386,0.1,0.30779350562554625,100
True,1,816.4861170006916,barnes_group,0.09835515123867643,9,1738,256,0.9590896836131334,0.014601080561665411,1,0,100
True,0,893.8292687609792,distressed_assets,25.69568629226983,0,1729,128,27.403975244037014,2.627329434745285,0.9848762838468721,0.027162839186446675,100
True,0,869.9613800225779,distressed_assets,26.008010347846604,1,1730,128,29.336755255855262,4.6821969175317575,0.9482323232323232,0.06435058635911502,100
True,0,856.9083594549447,distressed_assets,29.407340506821615,2,1731,128,31.812108022533028,4.363461331354594,0.9863194444444444,0.03441907137052214,100
True,0,834.976056613028,distressed_assets,29.31564466855943,3,1732,128,31.215901427004383,4.440326147411287,0.9841083916083916,0.03286307087284184,100
True,0,840.1267872881144,distressed_assets,25.860102741980246,4,1733,128,25.188011813186804,4.754792911150533,0.8813469863469864,0.14942795926556146,100
True,0,831.3771400973201,distressed_assets,26.231104370119905,5,1734,128,28.104405936016597,3.1721800222002168,0.9653237734487735,0.05538312783943822,100
True,0,826.2996718892828,distressed_assets,26.8021325378019,6,1735,128,26.859821593422073,3.1677151965094614,0.9818782249742002,0.040575416682908004,100
True,4,838.0464454777539,distressed_assets,0.36040527672558925,7,1736,640,0.2672080808080808,1.111555089675465,0.02125,0.04388606660553283,100
True,0,824.0498399697244,distressed_assets,27.310629938419435,8,1737,128,27.657584162691897,4.604006053347693,0.9829278360528362,0.03598565207412514,100
True,1,734.287275779061,distressed_assets,26.88380969838468,9,1738,256,28.14766260369533,3.356705370119372,0.9874732905982906,0.03164833063441669,100
True,0,538.6187753090635,dub_irish_dutch,0.16738360834723437,0,1729,128,0.47510007256442044,0.31737866168751455,0.26023809523809527,0.21997779781425436,100
True,0,530.955208754167,dub_irish_dutch,0.17611631786789889,1,1730,128,0.525424031647437,0.4089319424851442,0.36238095238095236,0.2715039687744356,100
True,0,530.2385941939428,dub_irish_dutch,0.20374145518858439,2,1731,128,0.5999119723865705,0.48471876651877516,0.3,0.2999512630977208,100
True,3,529.6304256571457,dub_irish_dutch,0.20802354491386957,3,1732,512,0.6703252904875637,0.5848116634086336,0.2791666666666667,0.297350630839786,100
True,0,531.4067225726321,dub_irish_dutch,0.33909505029931436,4,1733,128,0.8008546818644172,0.5424246075136033,0.2033333333333333,0.27865592189475813,100
True,1,529.4788583600894,dub_irish_dutch,0.23907145406735092,5,1734,256,0.7687979912891844,0.6155491326944141,0.2051190476190476,0.28906893906747555,100
True,0,530.7750743338838,dub_irish_dutch,0.20529210606046358,6,1735,128,0.41412583277661374,0.26256616321635723,0.17124999999999999,0.18272376732707443,100
True,0,520.683129761368,dub_irish_dutch,0.23839011349677292,7,1736,128,0.6292268183166788,0.5035034661880768,0.15999999999999998,0.18140130305082708,100
True,0,503.53474537469447,dub_irish_dutch,0.20129484759300173,8,1737,128,0.4789240539515099,0.24858332069710265,0.21749999999999997,0.22906337385048287,100
True,1,501.98941725771874,dub_irish_dutch,0.29644400748277433,9,1738,256,0.6388676538795355,0.5817742629384453,0.10083333333333333,0.18436511892444132,100
