discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
False,,1187.5531132429605,hard,partnership_disguised_sale,,0,1729,,-1.5344218750000005,0.31688626113787915,0.0,0.0,100
False,,1176.078245425946,hard,partnership_disguised_sale,,1,1730,,-1.750515625000001,0.2277322744949173,0.0,0.0,100
False,,1133.2750847290736,hard,partnership_disguised_sale,,2,1731,,-1.4497343749999998,0.2056417785057867,0.0,0.0,100
False,,1128.3562163939932,hard,partnership_disguised_sale,,3,1732,,-1.5012343750000006,0.24156339311385966,0.0,0.0,100
True,43,1157.838568154024,hard,partnership_disguised_sale,-1.7619682017543865,4,1733,5632,-1.5032031250000002,0.24531567159783496,0.0,0.0,100
True,97,1178.513859402039,hard,partnership_disguised_sale,-0.901354166666667,5,1734,12544,-1.3365468750000002,0.3968740477998317,0.003125,0.013975424859373685,100
True,68,1139.4064247650094,hard,partnership_disguised_sale,-1.4900195312500002,6,1735,8832,-1.5046875,0.23778268322312615,0.003125,0.013975424859373685,100
True,19,1053.5176320930477,hard,partnership_disguised_sale,-2.1013888888888896,7,1736,2560,-1.5042343750000005,0.262637093645339,0.0,0.0,100
True,86,1002.8364113270072,hard,partnership_disguised_sale,-1.644084821428572,8,1737,11136,-1.647109375,0.34353066978578556,0.003125,0.013975424859373685,100
False,,889.1147184969159,hard,partnership_disguised_sale,,9,1738,,-1.6771718750000004,0.258365037393387,0.0,0.0,100
