avg_entropy,avg_reward_per_episode,best_tax_advantage,cumulative_reward,dead_end_count,env_variant,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,saved_snapshots,seed,source_dir,success_count,success_rate,total_steps,update
3.9898,-9.042499999999993,0,-108.50999999999992,,hard,12,95,barnes_group,0.37221256891886395,0,0.2239,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,2944,22
4.0595,-8.803333333333313,0,-105.63999999999976,,hard,12,92,barnes_group,0.31648293137550354,0,0.2228,40,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,3072,23
3.2371,-8.569166666666652,0,-102.82999999999981,,hard,12,89,barnes_group,0.38518967231114704,0,0.2217,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,3200,24
3.1464,-8.434166666666666,0,-101.21,,hard,12,87,barnes_group,0.2507776468992233,0,0.2206,31,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,3328,25
3.5306,-8.491666666666662,0,-101.89999999999993,,hard,12,88,barnes_group,0.4242626229921977,0,0.2195,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,3456,26
3.3514,-8.817499999999987,0,-105.80999999999985,,hard,12,92,barnes_group,0.31192176540692645,0,0.2184,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,3584,27
3.0049,-8.610833333333325,0,-103.3299999999999,,hard,12,89,barnes_group,0.3918851415316264,0,0.2173,34,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,3712,28
3.0839,-8.447500000000003,0,-101.37000000000005,,hard,12,87,barnes_group,0.27305711309115094,0,0.2162,27,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,3840,29
3.0088,-8.629166666666668,0,-103.55000000000003,,hard,12,89,barnes_group,0.33433862527211505,0,0.2151,23,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,3968,30
3.4437,-8.464999999999998,0,-101.57999999999998,,hard,12,87,barnes_group,0.35311273733774823,0,0.214,32,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,4096,31
3.39,-8.591666666666663,0,-103.09999999999997,,hard,12,89,barnes_group,0.49652262528737384,0,0.213,36,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,4224,32
3.5026,-8.6775,0,-104.13000000000001,,hard,12,90,barnes_group,0.42960652709007263,0,0.2119,23,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,4352,33
2.7625,-8.673333333333325,0,-104.0799999999999,,hard,12,90,barnes_group,0.4628605941931407,0,0.2108,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,4480,34
2.8968,-9.154166666666661,0,-109.84999999999994,,hard,12,96,barnes_group,0.5104890465736389,0,0.2098,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,4608,35
3.2457,-8.76083333333333,0,-105.12999999999997,,hard,12,91,barnes_group,0.42417850097020465,0,0.2087,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,4736,36
3.5399,-8.524999999999997,0,-102.29999999999997,,hard,12,88,barnes_group,0.21186664203802744,0,0.2077,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,4864,37
3.9048,-8.823333333333332,0,-105.88,,hard,12,92,barnes_group,0.40368690093358356,0,0.2066,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,4992,38
3.6785,-8.747499999999995,0,-104.96999999999994,,hard,12,91,barnes_group,0.3935670554637909,0,0.2056,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,5120,39
3.7717,-9.211666666666654,0,-110.53999999999984,,hard,12,97,barnes_group,0.5442164937655131,0,0.2046,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,5248,40
3.6698,-9.404166666666649,0,-112.8499999999998,,hard,12,99,barnes_group,0.5108836889266968,0,0.2036,33,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,5376,41
3.8643,-8.643333333333327,0,-103.71999999999993,,hard,12,90,barnes_group,0.23970536887645721,0,0.2025,36,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,5504,42
4.3645,-9.796666666666658,0,-117.55999999999989,,hard,12,104,barnes_group,0.5569483240445455,0,0.2015,29,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,5632,43
4.2433,-9.540833333333326,0,-114.48999999999992,,hard,12,101,barnes_group,0.5081549088160197,0,0.2005,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,5760,44
4.247,-9.369166666666652,0,-112.42999999999982,,hard,12,99,barnes_group,0.41204412778218585,0,0.1995,31,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,5888,45
3.8957,-8.47999999999999,0,-101.75999999999988,,hard,12,88,barnes_group,0.14825973411401114,0,0.1985,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,6016,46
3.8189,-8.502499999999996,0,-102.02999999999996,,hard,12,88,barnes_group,0.22782235344250998,0,0.1975,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,6144,47
4.031,-8.394166666666655,0,-100.72999999999986,,hard,12,87,barnes_group,0.13534716765085855,0,0.1965,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,6272,48
3.4198,-8.38,0,-100.56000000000002,,hard,12,86,barnes_group,0.3038201729456584,0,0.1956,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,6400,49
3.7552,-8.107500000000003,0,-97.29000000000005,,hard,12,83,barnes_group,0.29562289516131085,0,0.1946,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,6528,50
4.0332,-9.220833333333328,0,-110.64999999999993,,hard,12,97,barnes_group,0.4259068965911865,0,0.1936,27,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,6656,51
3.6934,-8.584999999999999,0,-103.01999999999998,,hard,12,89,barnes_group,0.28701357046763104,0,0.1926,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,6784,52
3.9114,-8.82666666666666,0,-105.91999999999993,,hard,12,92,barnes_group,0.3109680116176605,0,0.1917,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,6912,53
3.6303,-8.574166666666663,0,-102.88999999999996,,hard,12,89,barnes_group,0.26280059417088825,0,0.1907,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,7040,54
3.9352,-9.038333333333325,0,-108.45999999999991,,hard,12,95,barnes_group,0.47078917423884076,0,0.1898,22,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,7168,55
4.2755,-9.044999999999986,0,-108.53999999999984,,hard,12,95,barnes_group,0.2878015637397766,0,0.1888,29,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,7296,56
3.7023,-8.599999999999996,0,-103.19999999999996,,hard,12,89,barnes_group,0.21548964579900107,0,0.1879,17,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,7424,57
3.5207,-8.425833333333326,0,-101.10999999999991,,hard,12,87,barnes_group,0.3172557055950165,0,0.1869,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,7552,58
3.994,-8.149999999999997,0,-97.79999999999997,,hard,12,84,barnes_group,0.2097128132979075,0,0.186,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,7680,59
3.2704,-8.454166666666671,0,-101.45000000000006,,hard,12,87,barnes_group,0.2703649302323659,0,0.1851,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,7808,60
3.681,-8.271666666666661,0,-99.25999999999993,,hard,12,85,barnes_group,0.21104036768277487,0,0.1841,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,7936,61
3.786,-8.430833333333334,0,-101.17,,hard,12,87,barnes_group,0.31211309631665546,0,0.1832,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,8064,62
3.5077,-8.422499999999992,0,-101.06999999999991,,hard,12,87,barnes_group,0.34574026862780255,0,0.1823,23,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,8192,63
3.328,-8.608333333333336,0,-103.30000000000004,,hard,12,89,barnes_group,0.2906952102979024,0,0.1814,15,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,8320,64
3.7048,-8.194999999999999,0,-98.33999999999999,,hard,12,84,barnes_group,0.29355619351069134,0,0.1805,29,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,8448,65
3.5329,-8.359166666666665,0,-100.30999999999997,,hard,12,86,barnes_group,0.22696872552235922,0,0.1796,20,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,8576,66
3.7132,-8.12083333333333,0,-97.44999999999996,,hard,12,83,barnes_group,0.3343519369761149,0,0.1787,23,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,8704,67
3.8426,-8.495,0,-101.93999999999998,,hard,12,88,barnes_group,0.39059971769650775,0,0.1778,29,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,8832,68
3.5095,-8.528333333333334,0,-102.34000000000002,,hard,12,88,barnes_group,0.22699693342049918,0,0.1769,15,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,8960,69
3.391,-8.388333333333339,0,-100.66000000000007,,hard,12,86,barnes_group,0.2274138629436493,0,0.176,26,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,9088,70
3.3797,-8.630833333333337,0,-103.57000000000004,,hard,12,89,barnes_group,0.2881592810153961,0,0.1751,12,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,9216,71
4.0417,-8.569166666666655,0,-102.82999999999986,,hard,12,89,barnes_group,0.6130280693372091,0,0.1743,18,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,9344,72
3.7873,-9.017499999999997,0,-108.20999999999995,,hard,12,94,barnes_group,0.4284760157267253,0,0.1734,18,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,9472,73
3.824,-8.744166666666663,0,-104.92999999999996,,hard,12,91,barnes_group,0.34162365396817523,0,0.1725,17,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,9600,74
3.866,-8.966666666666658,0,-107.5999999999999,,hard,12,94,barnes_group,0.3138607442378998,0,0.1717,20,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,9728,75
4.3155,-8.833333333333334,0,-106,,hard,12,92,barnes_group,0.33243202169736225,0,0.1708,15,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,9856,76
4.24,-8.445833333333328,0,-101.34999999999994,,hard,12,87,barnes_group,0.2541489402453105,0,0.1699,27,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,9984,77
3.9285,-8.426666666666664,0,-101.11999999999996,,hard,12,87,barnes_group,0.34730566541353863,0,0.1691,16,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,10112,78
3.9895,-8.104166666666666,0,-97.24999999999999,,hard,12,83,barnes_group,0.2779963215192159,0,0.1683,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,10240,79
3.9923,-8.728333333333337,0,-104.74000000000004,,hard,12,91,barnes_group,0.3018900950749715,0,0.1674,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,10368,80
3.3034,-8.470833333333337,0,-101.65000000000005,,hard,12,87,barnes_group,0.2978481551011403,0,0.1666,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,10496,81
3.1164,-8.559166666666671,0,-102.71000000000005,,hard,12,88,barnes_group,0.2662942707538605,0,0.1657,13,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,10624,82
3.2981,-8.459166666666667,0,-101.51,,hard,12,87,barnes_group,0.33483757575352985,0,0.1649,21,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,10752,83
3.5745,-8.4475,0,-101.36999999999999,,hard,12,87,barnes_group,0.3746986389160156,0,0.1641,20,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,10880,84
3.7034,-8.163333333333332,0,-97.95999999999998,,hard,12,84,barnes_group,0.31307506561279297,0,0.1633,14,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,11008,85
3.8356,-8.2525,0,-99.02999999999999,,hard,12,85,barnes_group,0.23399289945761362,0,0.1625,16,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,11136,86
3.7201,-8.625833333333333,0,-103.50999999999999,,hard,12,89,barnes_group,0.20987347265084585,0,0.1616,16,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,11264,87
4.1902,-8.576666666666664,0,-102.91999999999997,,hard,12,89,barnes_group,0.2759176790714264,0,0.1608,19,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,11392,88
3.6055,-7.991666666666661,0,-95.89999999999993,,hard,12,82,barnes_group,0.27179856101671857,0,0.16,16,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,11520,89
3.8826,-8.21666666666666,0,-98.59999999999992,,hard,12,85,barnes_group,0.3609683116277059,0,0.1592,22,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,11648,90
3.8034,-8.16166666666666,0,-97.93999999999993,,hard,12,84,barnes_group,0.24606923262278238,0,0.1584,27,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,11776,91
3.3834,-7.507499999999997,0,-90.08999999999996,,hard,12,76,barnes_group,0.09993379811445872,0,0.1576,17,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,11904,92
3.4455,-8.340000000000002,0,-100.08000000000001,,hard,12,86,barnes_group,0.3117111921310425,0,0.1569,18,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,12032,93
3.4698,-7.69083333333333,0,-92.28999999999996,,hard,12,78,barnes_group,0.2095946023861567,0,0.1561,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,12160,94
3.9077,-8.804999999999996,0,-105.65999999999995,,hard,12,92,barnes_group,0.3881336251894633,0,0.1553,19,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,12288,95
3.546,-8.247499999999997,0,-98.96999999999996,,hard,12,85,barnes_group,0.45075814922650653,0,0.1545,20,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,12416,96
3.1359,-8.547500000000007,0,-102.57000000000008,,hard,12,88,barnes_group,0.2591554919878642,0,0.1537,16,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,12544,97
3.3168,-8.434999999999997,0,-101.21999999999996,,hard,12,87,barnes_group,0.307827631632487,0,0.153,23,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,12672,98
3.5525,-8.25416666666666,0,-99.04999999999991,,hard,12,85,barnes_group,0.2752094765504201,0,0.1522,19,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,12800,99
2.8368,-11.233333333333306,0,-134.79999999999967,,hard,12,122,barnes_group,1.0907393892606099,0,0.25,31,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,128,0
3.4458,-10.239999999999979,0,-122.87999999999974,,hard,12,110,barnes_group,0.7461918989817301,0,0.2487,32,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,256,1
3.4435,-10.984166666666644,0,-131.80999999999972,,hard,12,119,barnes_group,0.8843129674593607,0,0.2475,26,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,384,2
