discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,source_dir,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,42,795.0955218650633,hard,partnership_disguised_sale,-19.134084051724162,0,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,5504,-19.154265625000026,0.3273963914775954,0,0,100
True,28,800.4170069069369,hard,partnership_disguised_sale,-19.52148003472225,1,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,3712,-19.42832812500003,0.42083897245630525,0,0,100
False,,680.9953272009734,hard,partnership_disguised_sale,,2,1731,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,,-19.45446875000003,0.3409303782603222,0,0,100
False,,668.5412691219244,hard,partnership_disguised_sale,,3,1732,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,,-18.78276562500002,0.43187553882354973,0,0,100
True,19,654.739423349034,hard,partnership_disguised_sale,-19.759841820987685,4,1733,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,2560,-19.683875000000032,0.6099443477228758,0.00625,0.01923709410159664,100
True,42,659.6049916050397,hard,partnership_disguised_sale,-19.23483297413796,5,1734,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,5504,-19.134343750000024,0.41936242407021,0,0,100
False,,667.4455394459656,hard,partnership_disguised_sale,,6,1735,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,,-18.743703125000017,0.44538387903233906,0,0,100
False,,657.5133336180588,hard,partnership_disguised_sale,,7,1736,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,,-19.22201562500003,0.3288012060349705,0,0,100
True,12,642.0173584769946,hard,partnership_disguised_sale,-19.757436079545485,8,1737,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,1664,-19.43454687500003,0.45595305625088905,0.003125,0.013975424859373685,100
True,58,625.2513361589517,hard,partnership_disguised_sale,-20.04275297619051,9,1738,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_partnership_disguised_sale_938462_3_20260812_163718,7552,-20.103218750000032,0.3034640517680175,0,0,100
True,59,640.3260449060472,hard,straddle_abuse,-49.185338753387505,0,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,7680,-49.56566666666664,0.9474446944243466,0,0,100
True,79,648.2008126860019,hard,straddle_abuse,-48.87904761904759,1,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,10240,-49.09949999999997,0.6036680681071643,0,0,100
False,,632.3773182549048,hard,straddle_abuse,,2,1731,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,,-49.54205555555552,0.8767924942497594,0,0,100
True,10,622.2301229619188,hard,straddle_abuse,-50.0584320987654,3,1732,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,1408,-49.867444444444416,1.281999793208087,0,0,100
True,56,620.7743274910608,hard,straddle_abuse,-49.73401515151511,4,1733,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,7296,-49.91772222222219,0.7936660788419555,0,0,100
True,19,621.568362636026,hard,straddle_abuse,-49.875048010973906,5,1734,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,2560,-49.600777777777736,1.0841412851588297,0,0,100
True,39,623.8746547600022,hard,straddle_abuse,-49.44846994535516,6,1735,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,5120,-49.52866666666664,0.7615170386340399,0,0,100
False,,626.3524686780293,hard,straddle_abuse,,7,1736,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,,-48.93238888888885,1.3785148130029692,0,0,100
True,47,622.2966490440303,hard,straddle_abuse,-48.84153039832282,8,1737,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,6144,-49.125555555555515,1.8941265875238313,0.016666666666666666,0.04070528317028036,100
False,,615.131612249068,hard,straddle_abuse,,9,1738,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_straddle_abuse_938463_4_20260812_163718,,-49.38672222222218,0.7898147499137249,0,0,100
False,,615.9453871010337,hard,subsidiary_stock_comp,,0,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-2.3906250000000058,0.21119471403622384,0,0,100
False,,612.5998847960727,hard,subsidiary_stock_comp,,1,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-3.203125000000005,0.8818983244145892,0,0,100
False,,616.1875411299989,hard,subsidiary_stock_comp,,2,1731,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-2.3875000000000055,0.1970172314131035,0,0,100
False,,584.816093869973,hard,subsidiary_stock_comp,,3,1732,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-7.934311868686851,0.290579052461176,0,0,100
False,,589.4640634600073,hard,subsidiary_stock_comp,,4,1733,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-8.23118686868685,0.3269607664609127,0,0,100
False,,598.6945334810298,hard,subsidiary_stock_comp,,5,1734,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-2.4218750000000058,0.2012246633282789,0,0,100
False,,584.31139041204,hard,subsidiary_stock_comp,,6,1735,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-2.6812500000000066,0.36550478793033686,0,0,100
False,,600.5051147920312,hard,subsidiary_stock_comp,,7,1736,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-2.346875000000005,0.2603728033234783,0,0,100
False,,582.7367258359445,hard,subsidiary_stock_comp,,8,1737,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-8.65312499999998,0.07925174329810969,0,0,100
False,,586.4383408090798,hard,subsidiary_stock_comp,,9,1738,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_subsidiary_stock_comp_938458_5_20260812_163718,,-8.61562499999998,0.18077296570997237,0,0,100
