discovered,discovery_update,elapsed_seconds,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,4,674.8094120407477,straddle_abuse,0.824826388888889,0,1729,640,0.38605555555555543,1.0960546219249356,0.005555555555555555,0.024845199749997663,100
True,8,675.3104157829657,straddle_abuse,0.8374879227053139,1,1730,1152,0.9545000000000003,1.1185286024809116,0.0,0.0,100
True,8,729.7657900480554,straddle_abuse,1.306944444444444,2,1731,1152,1.5801111111111112,1.8846584859960458,0.005555555555555555,0.024845199749997663,100
True,3,854.2009851234034,straddle_abuse,1.412107674684994,3,1732,512,2.361499999999998,2.3015444788889243,0.02222222222222222,0.04559903787045129,100
True,9,858.4263852173463,straddle_abuse,1.213235653235653,4,1733,1280,1.7226111111111109,2.356237633649208,0.016666666666666666,0.04070528317028036,100
True,13,860.5374537408352,straddle_abuse,1.3882120051085567,5,1734,1792,1.786055555555555,1.5711706844541442,0.02222222222222222,0.04559903787045129,100
True,16,854.3343885513023,straddle_abuse,1.0131481481481484,6,1735,2176,1.144277777777778,1.5737889730341632,0.016666666666666666,0.04070528317028036,100
True,23,855.1403558934107,straddle_abuse,1.8277965367965363,7,1736,3072,1.8274444444444442,2.1248450495813436,0.016666666666666666,0.04070528317028036,100
True,38,829.6932339631021,straddle_abuse,0.990967741935484,8,1737,4992,1.0427777777777774,1.918234429582475,0.01111111111111111,0.03419927840283847,100
True,25,712.1243688175455,straddle_abuse,1.3720444444444442,9,1738,3328,2.5081666666666655,2.440536862800366,0.03333333333333333,0.05224026066462525,100
