discovered,discovery_update,elapsed_seconds,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,0,538.6187753090635,dub_irish_dutch,0.16738360834723437,0,1729,128,0.47510007256442044,0.31737866168751455,0.26023809523809527,0.21997779781425436,100
True,0,530.955208754167,dub_irish_dutch,0.17611631786789889,1,1730,128,0.525424031647437,0.4089319424851442,0.36238095238095236,0.2715039687744356,100
True,0,530.2385941939428,dub_irish_dutch,0.20374145518858439,2,1731,128,0.5999119723865705,0.48471876651877516,0.3,0.2999512630977208,100
True,3,529.6304256571457,dub_irish_dutch,0.20802354491386957,3,1732,512,0.6703252904875637,0.5848116634086336,0.2791666666666667,0.297350630839786,100
True,0,531.4067225726321,dub_irish_dutch,0.33909505029931436,4,1733,128,0.8008546818644172,0.5424246075136033,0.2033333333333333,0.27865592189475813,100
True,1,529.4788583600894,dub_irish_dutch,0.23907145406735092,5,1734,256,0.7687979912891844,0.6155491326944141,0.2051190476190476,0.28906893906747555,100
True,0,530.7750743338838,dub_irish_dutch,0.20529210606046358,6,1735,128,0.41412583277661374,0.26256616321635723,0.17124999999999999,0.18272376732707443,100
True,0,520.683129761368,dub_irish_dutch,0.23839011349677292,7,1736,128,0.6292268183166788,0.5035034661880768,0.15999999999999998,0.18140130305082708,100
True,0,503.53474537469447,dub_irish_dutch,0.20129484759300173,8,1737,128,0.4789240539515099,0.24858332069710265,0.21749999999999997,0.22906337385048287,100
True,1,501.98941725771874,dub_irish_dutch,0.29644400748277433,9,1738,256,0.6388676538795355,0.5817742629384453,0.10083333333333333,0.18436511892444132,100
