discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
False,,591.4165517319925,hard,barnes_group,,0,1729,,-8.324041666666664,0.3228369624328457,0.0,0.0,100
False,,622.9331356040202,hard,barnes_group,,1,1730,,-7.514041666666657,0.4132998425700391,0.0,0.0,100
False,,574.7444458900718,hard,barnes_group,,2,1731,,-7.964791666666668,0.3453485690392071,0.0,0.0,100
False,,597.8511509139789,hard,barnes_group,,3,1732,,-8.69241666666667,0.2114092058997932,0.0,0.0,100
False,,546.7957474159775,hard,barnes_group,,4,1733,,-8.466208333333332,0.22169889539485213,0.0,0.0,100
False,,554.8290520609589,hard,barnes_group,,5,1734,,-6.162124999999999,0.38117685522095834,0.0,0.0,100
False,,525.5814408870647,hard,barnes_group,,6,1735,,-8.745249999999997,0.31350861791786494,0.0,0.0,100
False,,529.6859599580057,hard,barnes_group,,7,1736,,-8.896583333333329,0.26401766786972297,0.0,0.0,100
False,,529.0148572759936,hard,barnes_group,,8,1737,,-8.604291666666663,0.25275170926244284,0.0,0.0,100
False,,558.5945020189974,hard,barnes_group,,9,1738,,-7.92920833333333,0.4884135970054112,0.0,0.0,100
