discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
False,,855.6826410880312,hard,straddle_abuse,,0,1729,,0.2931666666666667,0.5593454676465505,0.0,0.0,100
True,41,850.931069556973,hard,straddle_abuse,0.6657438794726931,1,1730,5376,0.6888888888888889,1.178148678220284,0.005555555555555555,0.024845199749997663,100
True,89,855.5195542729925,hard,straddle_abuse,1.4548484848484848,2,1731,11520,0.9537777777777778,1.0311951972167215,0.005555555555555555,0.024845199749997663,100
True,33,853.7391396660241,hard,straddle_abuse,0.582039800995025,3,1732,4352,0.4897222222222222,0.6446736711703019,0.0,0.0,100
True,77,847.3177127999952,hard,straddle_abuse,1.129565217391304,4,1733,9984,1.0624444444444439,1.7020829497328496,0.01111111111111111,0.03419927840283847,100
True,38,847.3664636829635,hard,straddle_abuse,0.4105197132616489,5,1734,4992,0.33777777777777784,0.7164881685321285,0.0,0.0,100
True,53,851.4548744180356,hard,straddle_abuse,0.538936170212766,6,1735,6912,0.330388888888889,0.6344089844762176,0.0,0.0,100
True,33,845.7811183449812,hard,straddle_abuse,0.5477777777777778,7,1736,4352,0.614111111111111,0.8047140270724258,0.0,0.0,100
True,12,844.3744868059875,hard,straddle_abuse,0.5294444444444445,8,1737,1664,0.9198333333333336,1.0780515884782151,0.005555555555555555,0.024845199749997663,100
True,85,716.8376875710092,hard,straddle_abuse,0.3071851851851855,9,1738,11008,0.3793333333333334,0.9796375455227265,0.005555555555555555,0.024845199749997663,100
