discovered,discovery_update,elapsed_seconds,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,10,690.4724700986408,barnes_group,0.415040214832372,0,1729,1408,0.9656727256811818,0.010718477449450606,1.0,0.0,100
True,0,693.8412258950993,barnes_group,0.14224010877543977,1,1730,128,0.9602273226539768,0.017957452801595858,1.0,0.0,100
True,1,929.8142862687819,distressed_assets,26.56762528987138,0,1729,256,30.1850115465417,3.784143335507514,0.9774617539323422,0.03563411001020873,100
True,0,911.677060617134,distressed_assets,28.723973178704256,1,1730,128,29.422875821583393,2.939952641440668,0.9824999999999999,0.059105169423930924,100
True,0,470.83258559089154,dub_irish_dutch,0.16738360834723437,0,1729,128,0.47510007256442044,0.31737866168751455,0.26023809523809527,0.21997779781425436,100
True,0,471.48799151182175,dub_irish_dutch,0.17611631786789889,1,1730,128,0.525424031647437,0.4089319424851442,0.36238095238095236,0.2715039687744356,100
True,3,677.8872999059968,partnership_disguised_sale,4.628828642159523,0,1729,512,9.972513767414863,1.9909893158368832,0.495656604747162,0.10364986228021349,100
True,1,706.1259890231304,partnership_disguised_sale,3.8179678188837114,1,1730,256,8.997130960827315,2.7187819259831874,0.45601350189198486,0.13926938756888263,100
True,4,724.0514073818922,straddle_abuse,0.824826388888889,0,1729,640,0.38605555555555543,1.0960546219249356,0.005555555555555555,0.024845199749997663,100
True,8,717.2476410754025,straddle_abuse,0.8374879227053139,1,1730,1152,0.9545000000000003,1.1185286024809116,0.0,0.0,100
True,5,758.1985704069957,subsidiary_stock_comp,1.2087425265926681,0,1729,768,1.6710892776606436,0.176239016488757,0.8329077158751073,0.08209344681514254,100
True,0,755.4777716831304,subsidiary_stock_comp,1.579844183134696,1,1730,128,1.7428121203456262,0.13548471905800738,0.8642239990008344,0.07150092158077341,100
