avg_entropy,avg_reward_per_episode,best_tax_advantage,cumulative_reward,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,seed,success_count,success_rate,total_steps,update
0.9848,-0.8700000000000006,0,-0.8700000000000006,0,0,barnes_group,-0.026690529038508732,0,0.1592,17,7,1736,0,0.0,11648,90
1.1565,-0.8700000000000006,0,-0.8700000000000006,0,0,barnes_group,0.05811233321825663,0,0.1584,19,7,1736,0,0.0,11776,91
1.0711,-0.9000000000000005,0,-0.9000000000000005,0,0,barnes_group,-0.007912967974940935,0,0.1576,25,7,1736,0,0.0,11904,92
0.9247,-0.7800000000000005,0,-0.7800000000000005,0,0,barnes_group,0.04472655182083448,0,0.1569,19,7,1736,0,0.0,12032,93
0.8828,-0.7500000000000004,0,-0.7500000000000004,0,0,barnes_group,0.0009888081500927608,0,0.1561,24,7,1736,0,0.0,12160,94
0.8747,-0.7800000000000005,0,-0.7800000000000005,0,0,barnes_group,-0.032436336080233254,0,0.1553,21,7,1736,0,0.0,12288,95
0.8548,-0.7700000000000005,0,-0.7700000000000005,0,0,barnes_group,0.0470992736518383,0,0.1545,25,7,1736,0,0.0,12416,96
0.7356,-0.7600000000000005,0,-0.7600000000000005,0,0,barnes_group,0.2499077320098877,0,0.1537,23,7,1736,0,0.0,12544,97
0.8421,-0.7800000000000005,0,-0.7800000000000005,0,0,barnes_group,-0.01615794748067856,0,0.153,21,7,1736,0,0.0,12672,98
0.9,-0.7500000000000004,0,-0.7500000000000004,0,0,barnes_group,-0.007167074829339981,0,0.1522,12,7,1736,0,0.0,12800,99
1.13,-1.2000000000000008,0,-1.2000000000000008,0,0,barnes_group,0.04750541100899378,0,0.25,27,8,1737,0,0.0,128,0
0.7781,-0.7200000000000004,0,-0.7200000000000004,0,0,barnes_group,0.07553968826929729,0,0.2487,29,8,1737,0,0.0,256,1
0.7192,-0.7700000000000005,0,-0.7700000000000005,0,0,barnes_group,0.027042200788855553,0,0.2475,25,8,1737,0,0.0,384,2
0.7513,-0.7800000000000005,0,-0.7800000000000005,0,0,barnes_group,0.571199357509613,0,0.2463,28,8,1737,0,0.0,512,3
0.7458,-0.7600000000000005,0,-0.7600000000000005,0,0,barnes_group,0.10124517480532329,0,0.245,24,8,1737,0,0.0,640,4
0.8319,-0.7700000000000005,0,-0.7700000000000005,0,0,barnes_group,0.1274899293979009,0,0.2438,36,8,1737,0,0.0,768,5
0.8263,-0.7300000000000004,0,-0.7300000000000004,0,0,barnes_group,0.04012304482360681,0,0.2426,31,8,1737,0,0.0,896,6
0.9171,-0.7600000000000005,0,-0.7600000000000005,0,0,barnes_group,0.08548964808384578,0,0.2414,35,8,1737,0,0.0,1024,7
1.0364,-0.8100000000000005,0,-0.8100000000000005,0,0,barnes_group,-0.012352721144755682,0,0.2402,31,8,1737,0,0.0,1152,8
0.9641,-0.7900000000000005,0,-0.7900000000000005,0,0,barnes_group,-0.011021022374431292,0,0.239,24,8,1737,0,0.0,1280,9
1.0984,-0.7900000000000004,0,-0.7900000000000004,0,0,barnes_group,0.01618405431509018,0,0.2378,26,8,1737,0,0.0,1408,10
1.1017,-0.7900000000000005,0,-0.7900000000000005,0,0,barnes_group,0.011002580324808756,0,0.2366,29,8,1737,0,0.0,1536,11
1.2648,-0.7700000000000004,0,-0.7700000000000004,0,0,barnes_group,0.011589813977479935,0,0.2354,36,8,1737,0,0.0,1664,12
1.1963,-0.7100000000000004,0,-0.7100000000000004,0,0,barnes_group,-0.02602325628201167,0,0.2342,25,8,1737,0,0.0,1792,13
1.1355,-0.6700000000000004,0,-0.6700000000000004,0,0,barnes_group,-0.014544031272331873,0,0.2331,25,8,1737,0,0.0,1920,14
1.1227,-0.7000000000000004,0,-0.7000000000000004,0,0,barnes_group,0.06184489900867144,0,0.2319,33,8,1737,0,0.0,2048,15
