discovered,discovery_update,elapsed_seconds,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,0,893.8292687609792,distressed_assets,25.69568629226983,0,1729,128,27.403975244037014,2.627329434745285,0.9848762838468721,0.027162839186446675,100
True,0,869.9613800225779,distressed_assets,26.008010347846604,1,1730,128,29.336755255855262,4.6821969175317575,0.9482323232323232,0.06435058635911502,100
True,0,856.9083594549447,distressed_assets,29.407340506821615,2,1731,128,31.812108022533028,4.363461331354594,0.9863194444444444,0.03441907137052214,100
True,0,834.976056613028,distressed_assets,29.31564466855943,3,1732,128,31.215901427004383,4.440326147411287,0.9841083916083916,0.03286307087284184,100
True,0,840.1267872881144,distressed_assets,25.860102741980246,4,1733,128,25.188011813186804,4.754792911150533,0.8813469863469864,0.14942795926556146,100
True,0,831.3771400973201,distressed_assets,26.231104370119905,5,1734,128,28.104405936016597,3.1721800222002168,0.9653237734487735,0.05538312783943822,100
True,0,826.2996718892828,distressed_assets,26.8021325378019,6,1735,128,26.859821593422073,3.1677151965094614,0.9818782249742002,0.040575416682908004,100
True,4,838.0464454777539,distressed_assets,0.36040527672558925,7,1736,640,0.2672080808080808,1.111555089675465,0.02125,0.04388606660553283,100
True,0,824.0498399697244,distressed_assets,27.310629938419435,8,1737,128,27.657584162691897,4.604006053347693,0.9829278360528362,0.03598565207412514,100
True,1,734.287275779061,distressed_assets,26.88380969838468,9,1738,256,28.14766260369533,3.356705370119372,0.9874732905982906,0.03164833063441669,100
