avg_reward_per_episode,cumulative_reward,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,seed,success_count,success_rate,total_steps,update
-0.08666666666666668,-1.0400000000000003,12,0,distressed_assets,0.6072830557823181,0,0.25,39,0,1729,0,0.0,128,0
-0.06416666666666669,-0.7700000000000004,12,0,distressed_assets,0.2312337209781011,0,0.2487,34,0,1729,0,0.0,256,1
-0.060000000000000026,-0.7200000000000003,12,0,distressed_assets,0.2861379186312358,0,0.2475,33,0,1729,0,0.0,384,2
-0.06583333333333337,-0.7900000000000004,12,0,distressed_assets,0.2063692013422648,0,0.2463,31,0,1729,0,0.0,512,3
2.543333333333333,30.519999999999996,12,0,distressed_assets,4.7986399332682295,1,0.245,35,0,1729,1,0.08333333333333333,640,4
4.823076923076922,62.69999999999999,13,0,distressed_assets,7.390683492024739,2,0.2438,30,0,1729,2,0.15384615384615385,768,5
2.305384615384612,29.969999999999956,13,0,distressed_assets,3.8398794333140054,1,0.2426,27,0,1729,1,0.07692307692307693,896,6
2.321538461538459,30.179999999999968,13,0,distressed_assets,3.986249844233195,1,0.2414,31,0,1729,1,0.07692307692307693,1024,7
2.4508333333333305,29.409999999999965,12,0,distressed_assets,4.456147034962972,1,0.2402,26,0,1729,1,0.08333333333333333,1152,8
4.68153846153846,60.85999999999998,13,0,distressed_assets,6.866908073425293,2,0.239,29,0,1729,2,0.15384615384615385,1280,9
8.877142857142852,124.27999999999993,14,0,distressed_assets,13.103273073832193,4,0.2378,31,0,1729,4,0.2857142857142857,1408,10
18.171333333333326,272.5699999999999,15,0,distressed_assets,29.278661727905273,9,0.2366,32,0,1729,9,0.6,1536,11
21.138666666666676,317.08000000000015,15,0,distressed_assets,32.32621765136719,10,0.2354,30,0,1729,10,0.6666666666666666,1664,12
23.77312500000003,380.37000000000046,16,0,distressed_assets,38.93666966756185,12,0.2342,36,0,1729,12,0.75,1792,13
15.274666666666674,229.12000000000012,15,0,distressed_assets,25.49433771769206,8,0.2331,32,0,1729,8,0.5333333333333333,1920,14
20.42466666666668,306.37000000000023,15,0,distressed_assets,32.06275939941406,10,0.2319,34,0,1729,10,0.6666666666666666,2048,15
19.847647058823526,337.40999999999997,17,0,distressed_assets,33.520938873291016,11,0.2307,36,0,1729,11,0.6470588235294118,2176,16
27.646666666666672,497.6400000000001,18,0,distressed_assets,48.69289016723633,16,0.2296,23,0,1729,16,0.8888888888888888,2304,17
18.973999999999997,284.60999999999996,15,0,distressed_assets,29.27622922261556,9,0.2284,30,0,1729,9,0.6,2432,18
16.307500000000005,260.9200000000001,16,0,distressed_assets,27.109099706013996,9,0.2273,40,0,1729,9,0.5625,2560,19
23.746000000000002,356.19000000000005,15,0,distressed_assets,39.569932301839195,12,0.2262,35,0,1729,12,0.8,2688,20
30.17736842105265,573.3700000000003,19,0,distressed_assets,53.618848164876304,18,0.225,30,0,1729,18,0.9473684210526315,2816,21
25.21052631578948,479.0000000000001,19,0,distressed_assets,42.37822977701823,15,0.2239,24,0,1729,15,0.7894736842105263,2944,22
23.478333333333346,422.61000000000024,18,0,distressed_assets,43.25162124633789,14,0.2228,38,0,1729,14,0.7777777777777778,3072,23
28.262857142857154,593.5200000000002,21,0,distressed_assets,53.725687662760414,19,0.2217,27,0,1729,19,0.9047619047619048,3200,24
21.0164705882353,357.2800000000001,17,0,distressed_assets,37.4954948425293,12,0.2206,25,0,1729,12,0.7058823529411765,3328,25
28.63350000000002,572.6700000000004,20,0,distressed_assets,51.425880432128906,18,0.2195,26,0,1729,18,0.9,3456,26
24.047777777777792,432.86000000000024,18,0,distressed_assets,41.25214640299479,14,0.2184,22,0,1729,14,0.7777777777777778,3584,27
24.459444444444458,440.27000000000027,18,0,distressed_assets,46.74181111653646,15,0.2173,36,0,1729,15,0.8333333333333334,3712,28
25.11789473684213,477.24000000000046,19,0,distressed_assets,41.6527099609375,15,0.2162,19,0,1729,15,0.7894736842105263,3840,29
