discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,4,1225.2975930449902,hard,distressed_assets,26.058989140881575,0,1729,640,29.913118586755445,2.4714388201588346,0.9440144505253201,0.07207965821956751,100
True,0,1229.6882673740038,hard,distressed_assets,26.584160883697656,1,1730,128,29.815471878085003,2.472509922816593,0.935854297876037,0.07616801969518114,100
True,1,1217.178409582004,hard,distressed_assets,24.642893233820114,2,1731,256,29.34250901088044,1.908727732867489,0.9245221988156771,0.05617559387480674,100
True,0,1153.956555222976,hard,distressed_assets,25.21313771691549,3,1732,128,30.14262172578186,1.267856075993712,0.9461074598551715,0.0380945763594895,100
True,0,1009.0787081680028,hard,distressed_assets,26.214835473809053,4,1733,128,30.73225447177623,1.526937499386961,0.9625647098473186,0.0451444851081573,100
True,0,1015.3316256639664,hard,distressed_assets,26.705123725606022,5,1734,128,30.194070540483978,2.240694382780353,0.9486518204653216,0.0642264238839716,100
True,0,1022.6271406880114,hard,distressed_assets,25.932705127767967,6,1735,128,29.824642588282035,1.9506355876854855,0.9467533304055044,0.04529493797775316,100
True,34,997.1682071499527,hard,distressed_assets,0.7663616938616937,7,1736,4480,2.0985064102564097,2.2498012154153506,0.0733974358974359,0.07268685701466725,100
True,0,1007.0013361200108,hard,distressed_assets,24.497163813294545,8,1737,128,28.704718504901972,1.670788932556274,0.9076593137254901,0.054968255885853266,100
True,1,1008.1442128599738,hard,distressed_assets,25.55207930916106,9,1738,256,30.40912869410953,1.7445020291239115,0.9548058089888753,0.04864572199268496,100
